,price,origin,destination,departure,carriers,departure_date
0,126.55,Madrid,Barcelona,14:55:00,Iberia,2024-11-01
1,126.55,Barcelona,Madrid,15:15:00,Iberia,2024-11-03
2,122.06,Madrid,Barcelona,07:15:00,Iberia,2024-11-01
3,122.06,Barcelona,Madrid,15:15:00,Iberia,2024-11-03
4,120.0,Madrid,Barcelona,07:30:00,Air europa,2024-11-01
5,120.0,Barcelona,Madrid,20:30:00,Vueling airlines,2024-11-03
6,128.91,Madrid,Barcelona,16:00:00,Iberia,2024-11-01
7,128.91,Barcelona,Madrid,15:15:00,Iberia,2024-11-03
8,130.29,Madrid,Barcelona,14:55:00,Iberia,2024-11-01
9,130.29,Barcelona,Madrid,13:30:00,Iberia,2024-11-03
10,129.4,Madrid,Barcelona,18:00:00,Iberia,2024-11-01
11,129.4,Barcelona,Madrid,15:15:00,Iberia,2024-11-03
12,126.52,Madrid,Barcelona,19:05:00,Iberia,2024-11-01
13,126.52,Barcelona,Madrid,15:15:00,Iberia,2024-11-03
14,129.49,Madrid,Barcelona,18:00:00,Iberia,2024-11-01
15,129.49,Barcelona,Madrid,13:30:00,Iberia,2024-11-03
16,128.33,Madrid,Barcelona,07:45:00,Iberia,2024-11-01
17,128.33,Barcelona,Madrid,15:15:00,Iberia,2024-11-03
18,126.56,Madrid,Barcelona,19:05:00,Iberia,2024-11-01
19,126.56,Barcelona,Madrid,13:30:00,Iberia,2024-11-03
20,71.58,Madrid,Barcelona,15:10:00,Air europa,2024-11-08
21,71.58,Barcelona,Madrid,11:50:00,Air europa,2024-11-10
22,63.46,Madrid,Barcelona,07:15:00,Iberia,2024-11-08
23,63.46,Barcelona,Madrid,11:50:00,Air europa,2024-11-10
24,99.11,Madrid,Barcelona,07:15:00,Iberia,2024-11-08
25,99.11,Barcelona,Madrid,18:00:00,Iberia,2024-11-10
26,87.99,Madrid,Barcelona,07:15:00,Iberia,2024-11-08
27,87.99,Barcelona,Madrid,15:15:00,Iberia,2024-11-10
28,99.37,Madrid,Barcelona,15:10:00,Air europa,2024-11-08
29,99.37,Barcelona,Madrid,16:25:00,Vueling airlines,2024-11-10
30,102.79,Madrid,Barcelona,07:45:00,Iberia,2024-11-08
31,102.79,Barcelona,Madrid,15:15:00,Iberia,2024-11-10
32,89.08,Madrid,Barcelona,07:15:00,Iberia,2024-11-08
33,89.08,Barcelona,Madrid,16:25:00,Vueling airlines,2024-11-10
34,99.35,Madrid,Barcelona,11:30:00,Iberia,2024-11-08
35,99.35,Barcelona,Madrid,11:50:00,Air europa,2024-11-10
36,82.79,Madrid,Barcelona,08:30:00,Iberia,2024-11-08
37,82.79,Barcelona,Madrid,11:50:00,Air europa,2024-11-10
38,109.09,Madrid,Barcelona,08:30:00,Iberia,2024-11-08
39,109.09,Barcelona,Madrid,16:25:00,Vueling airlines,2024-11-10
40,87.0,Madrid,Valencia,07:05:00,Air europa,2024-11-01
41,87.0,Valencia,Madrid,20:35:00,Air europa,2024-11-03
42,99.0,Madrid,Valencia,15:05:00,Air europa,2024-11-01
43,99.0,Valencia,Madrid,20:35:00,Air europa,2024-11-03
44,111.0,Madrid,Valencia,15:05:00,Air europa,2024-11-01
45,111.0,Valencia,Madrid,12:20:00,Air europa,2024-11-03
46,92.0,Madrid,Valencia,22:40:00,Iberia,2024-11-01
47,92.0,Valencia,Madrid,20:35:00,Air europa,2024-11-03
48,115.0,Madrid,Valencia,08:00:00,Iberia,2024-11-01
49,115.0,Valencia,Madrid,20:35:00,Air europa,2024-11-03
50,99.0,Madrid,Valencia,07:05:00,Air europa,2024-11-01
51,99.0,Valencia,Madrid,12:20:00,Air europa,2024-11-03
52,136.0,Madrid,Valencia,08:00:00,Iberia,2024-11-01
53,136.0,Valencia,Madrid,12:20:00,Air europa,2024-11-03
54,114.0,Madrid,Valencia,22:40:00,Iberia,2024-11-01
55,114.0,Valencia,Madrid,12:20:00,Air europa,2024-11-03
56,187.0,Madrid,Valencia,16:00:00,Iberia,2024-11-01
57,187.0,Valencia,Madrid,20:35:00,Air europa,2024-11-03
58,209.0,Madrid,Valencia,16:00:00,Iberia,2024-11-01
59,209.0,Valencia,Madrid,12:20:00,Air europa,2024-11-03
60,97.53,Madrid,Valencia,07:05:00,Air europa,2024-11-08
61,97.53,Valencia,Madrid,20:35:00,Air europa,2024-11-10
63,97.53,Valencia,Madrid,12:20:00,Air europa,2024-11-10
64,155.51,Madrid,Valencia,15:05:00,Air europa,2024-11-08
65,155.51,Valencia,Madrid,12:20:00,Air europa,2024-11-10
67,155.51,Valencia,Madrid,20:35:00,Air europa,2024-11-10
68,111.0,Madrid,Valencia,07:05:00,Air europa,2024-11-08
69,111.0,Valencia,Madrid,12:45:00,Vueling airlines,2024-11-10
70,167.48,Madrid,Valencia,22:40:00,Iberia,2024-11-08
71,167.48,Valencia,Madrid,20:35:00,Air europa,2024-11-10
72,250.26,Madrid,Valencia,08:00:00,Iberia,2024-11-08
73,250.26,Valencia,Madrid,20:35:00,Air europa,2024-11-10
74,124.0,Madrid,Valencia,07:05:00,Air europa,2024-11-08
75,124.0,Valencia,Madrid,12:45:00,Vueling airlines,2024-11-10
76,219.64,Madrid,Valencia,08:20:00,Air europa,2024-11-08
77,219.64,Valencia,Madrid,20:35:00,Air europa,2024-11-10
79,167.48,Valencia,Madrid,12:20:00,Air europa,2024-11-10
